locality,eventDate,scientificName
BICA,2001-08-13,Crotalus viridis
BICA,2001-08-13,Sceloporus graciosus
BICA,2001-07-18,Thamnophis elegans
BICA,2002-07-03,Pituophis catenifer
BICA,2002-06-19,Coluber constrictor
BICA,2002-06-17,Pituophis catenifer
BICA,2002-06-27,Rana pipiens
BICA,2002-06-27,Rana pipiens
BICA,2002-06-26,Pseudacris maculata
BICA,2002-06-26,Rana pipiens
BICA,2002-06-26,Bufo woodhousii
BICA,2002-06-26,Bufo woodhousii
BICA,2001-08-13,Crotalus viridis
BICA,2002-06-27,Bufo woodhousii
BICA,2002-06-27,Rana pipiens
BICA,2002-07-03,Sceloporus graciosus
BICA,2002-06-07,Rana pipiens
BICA,2002-06-27,Rana pipiens
BICA,2002-06-25,Pituophis catenifer
BICA,2002-06-27,Pseudacris maculata
